Name,Calls,TotalDurationNs,AverageNs,Percentage
hipMemcpy,4,1063976808,265994202,99.4196548289258
hipLaunchKernel,802,3331580,4154,0.311308038995294
hipMalloc,3,1384481,461493,0.129368067144191
__hipPopCallConfiguration,802,557850,695,0.052126375339486
__hipPushCallConfiguration,802,501621,625,0.0468722497520271
hipFree,3,309540,103180,0.0289239010891539
hipEventSynchronize,2,52520,26260,0.00490755083414862
hipEventRecord,4,33550,8387,0.00313496440376402
hipEventElapsedTime,2,24620,12310,0.00230053125545962
hipEventCreate,6,11480,1913,0.00107270913130286
hipEventDestroy,6,3540,590,0.000330783129339035
